dgp,setting,linearity_degree,N,method,mean,sd,rmse,estimand_type,estimand_id
staggered,D_ramp_nt20,2,200,did_dr,-0.34825661468549174,4.639776903466436,4.641129979441176,GATT,g=4_t=4
staggered,D_ramp_nt20,2,200,doubleml,-0.12738132467044228,6.411857149448127,6.397075780876698,GATT,g=4_t=4
staggered,D_ramp_nt20,2,200,wang,-0.338091304616447,4.2971877058544665,4.299744038743155,GATT,g=4_t=4
staggered,D_ramp_nt20,3,200,did_dr,-0.3482566146854962,4.639776903466437,4.641129979441176,GATT,g=4_t=4
staggered,D_ramp_nt20,3,200,doubleml,-0.8978082053419689,6.405003537835759,6.4517446897462944,GATT,g=4_t=4
staggered,D_ramp_nt20,3,200,wang,-0.15590106454643896,4.26630261836334,4.258478188651824,GATT,g=4_t=4
staggered,D_ramp_nt25,1,200,did_dr,-0.21314046073709636,4.134114891058237,4.129271153461629,GATT,g=4_t=4
staggered,D_ramp_nt25,1,200,doubleml,-0.3071172094990947,5.485450176884094,5.480331541543165,GATT,g=4_t=4
staggered,D_ramp_nt25,1,200,wang,-0.2887053509046642,4.069346881131545,4.069414810316237,GATT,g=4_t=4
staggered,D_ramp_nt25,2,200,did_dr,-0.09055198049859248,4.2934282696452435,4.283584384869862,GATT,g=4_t=4
staggered,D_ramp_nt25,2,200,doubleml,-0.7401185861469842,6.241435332850632,6.269650146590773,GATT,g=4_t=4
staggered,D_ramp_nt25,2,200,wang,-0.2500148479999288,4.096986884146035,4.094372045313023,GATT,g=4_t=4
staggered,D_ramp_nt25,3,200,did_dr,-0.09055198049859298,4.293428269645243,4.283584384869863,GATT,g=4_t=4
staggered,D_ramp_nt25,3,200,doubleml,-1.0139902840678283,5.807774485083231,5.881306788751957,GATT,g=4_t=4
staggered,D_ramp_nt25,3,200,wang,-0.09628981937497294,4.088434758662254,4.079337447585544,GATT,g=4_t=4
staggered,D_ramp_nt30,1,200,did_dr,-0.3302346493200828,4.0055464868527135,4.009143994502817,GATT,g=4_t=4
